id,lat,lon,name,ref:FR:STIF,FIXME,source:position
StopPoint:Node:343018948,48.6886933,2.3590614,Aristide Briand–Champagne,,,
StopPoint:Node:343134821,48.6857574,2.347549,Les Peupliers,,,
StopPoint:Node:343646701,48.8387638,2.3500744,Monge - Claude Bernard,,position à préciser,
StopPoint:Node:345139400,48.6877872,2.3365762,,,,
StopPoint:Node:345141651,48.6834733,2.3377382,Marguerites–Salvador Allende,,,
StopPoint:Node:345141652,48.6833882,2.3376539,Marguerites–Salvador Allende,,,
StopPoint:Node:345179857,48.689865,2.3329675,Père Coindreau,,,
StopPoint:Node:345179900,48.6876195,2.3315687,Meuniers,,,
StopPoint:Node:345179913,48.6868513,2.3306316,Meuniers,,,
StopPoint:Node:345202643,48.6850197,2.3334147,Collège Les Gâtines,,,
StopPoint:Node:345202645,48.6851454,2.333328,Collège Les Gâtines,,,
StopPoint:Node:345202757,48.6850926,2.3328384,Collège Les Gâtines,,,
StopPoint:Node:345216132,49.0440713,2.4635885,Place Sydney Béchet,,,
StopPoint:Node:345216135,49.043935,2.463732,Place Sydney Béchet,,,
StopPoint:Node:345242675,49.0383815,2.4674704,École Gabriel Péri,38514;37990,,
StopPoint:Node:345242679,49.039021,2.466944,Acacias,,,
StopPoint:Node:345242683,49.0392407,2.4664191,Acacias,,,
StopPoint:Node:345242715,49.0416155,2.4636214,Cachin Blatreux,,,
StopPoint:Node:345242718,49.0428622,2.4619265,Gendarmerie,,,
StopPoint:Node:345242724,49.0432153,2.4612276,Gendarmerie,,,
StopPoint:Node:345242730,49.0429332,2.4673705,Georges Brassens,,,
StopPoint:Node:345242736,49.0430981,2.4673425,Georges Brassens,,,
StopPoint:Node:345523690,48.6730413,2.3448923,Billoir,,,
StopPoint:Node:345523692,48.6732399,2.3452751,Billoir,,,
StopPoint:Node:346909498,48.7891995,2.0490917,Les Quadrants,21023,,
StopPoint:Node:352968784,48.851413,2.2915579,Dupleix,,,opendata.paris.fr - 04/2011
StopPoint:Node:353096003,48.7844379,2.1133369,Soult,4181,,
StopPoint:Node:353096007,48.7842382,2.1137608,Soult,4284,,
StopPoint:Node:353880248,48.7838372,2.0524251,Mail des Saules,,,
StopPoint:Node:355533818,48.7706503,2.1247818,,,,
